title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Grizzly Man,Grizzly Man,501,tt0427312,false,103,0,0,647,7.5,en,2005-08-12
Fail Safe,Fail Safe,502,tt0058083,false,112,0,0,279,7.815,en,1964-10-07
Poseidon,Poseidon,503,tt0409182,false,98,160000000,181674817,1785,5.827,en,2006-05-10
Monster,Monster,504,tt0340855,false,110,8000000,60378584,1884,7.249,en,2003-12-24
Johnny Handsome,Johnny Handsome,505,tt0097626,false,94,20000000,7237794,199,6.284,en,1989-09-12
Marnie,Marnie,506,tt0058329,false,131,2135000,7000000,861,7.2,en,1964-07-17
Killing Zoe,Killing Zoe,507,tt0110265,false,96,1500000,418961,267,6.242,en,1993-10-01
Love Actually,Love Actually,508,tt0314331,false,135,40000000,244931766,5580,7.1,en,2003-09-07
Notting Hill,Notting Hill,509,tt0125439,false,124,42000000,363889678,5047,7.254,en,1999-05-21
One Flew Over the Cuckoo\'s Nest,One Flew Over the Cuckoo\'s Nest,510,tt0073486,false,133,3000000,108981275,8799,8.428,en,1975-05-18
The Promised Land,Ziemia obiecana,511,tt0072446,false,170,0,0,50,7,pl,1975-02-21
Scoop,Scoop,512,tt0457513,false,96,4000000,31584901,1374,6.599,en,2006-07-27
Fire,Fire,513,tt0116308,false,108,0,501533,51,6.647,en,1997-08-22
Dial M for Murder,Dial M for Murder,521,tt0046912,false,105,1400000,3000000,2056,8.033,en,1954-05-29
Ed Wood,Ed Wood,522,tt0109707,false,127,18000000,5887457,1888,7.509,en,1994-09-27
Requiem,Requiem,523,tt0454931,false,92,0,0,68,6.8,de,2006-03-02
Casino,Casino,524,tt0112641,false,179,52000000,116112375,4628,8.014,en,1995-11-22
The Blues Brothers,The Blues Brothers,525,tt0080455,false,133,27000000,115229890,3472,7.749,en,1980-06-16
Ladyhawke,Ladyhawke,526,tt0089457,false,121,20000000,18432000,932,7.04,en,1985-03-27
Once Were Warriors,Once Were Warriors,527,tt0110729,false,99,0,1608570,300,7.43,en,1994-09-02
A Grand Day Out,A Grand Day Out,530,tt0104361,false,23,17300,0,656,7.494,en,1990-05-18
The Wrong Trousers,The Wrong Trousers,531,tt0108598,false,30,0,0,757,7.705,en,1993-12-17
A Close Shave,A Close Shave,532,tt0112691,false,30,0,0,623,7.514,en,1995-04-10
Wallace & Gromit: The Curse of the Were-Rabbit,Wallace & Gromit: The Curse of the Were-Rabbit,533,tt0312004,false,85,30000000,192610372,2171,7.012,en,2005-09-04
Terminator Salvation,Terminator Salvation,534,tt0438488,false,117,200000000,371353001,5532,6.028,en,2009-05-20
Flashdance,Flashdance,535,tt0085549,false,95,7000000,201500000,1177,6.52,en,1983-04-14
Stuttgart Shanghai,Stuttgart Shanghai,536,tt0958195,false,60,0,0,1,5,en,2007-03-01
Not Here to Be Loved,Je ne suis pas là pour être aimé,537,tt0436445,false,93,0,0,21,6.8,fr,2005-10-12
Janine F.,Janine F.,538,tt0485662,false,52,10000,0,1,5,en,2004-02-11
Psycho,Psycho,539,tt0054215,false,109,806947,50000000,8360,8.443,en,1960-06-22
D.E.B.S.,D.E.B.S.,540,tt0367631,false,91,3500000,0,428,6.364,en,2004-01-21
The Man with the Golden Arm,The Man with the Golden Arm,541,tt0048347,false,119,1000000,4350000,167,7.231,en,1955-12-26
The Crime of Padre Amaro,El Crimen del Padre Amaro,542,tt0313196,false,118,1800000,0,215,6.549,es,2002-10-01
Blackmail,Blackmail,543,tt0019702,false,86,0,0,164,6.6,en,1929-07-28
There\'s Something About Mary,There\'s Something About Mary,544,tt0129387,false,119,23000000,369884651,4232,6.578,en,1998-07-15
Transamerica,Transamerica,546,tt0407265,false,103,1000000,13350369,380,7.072,en,2005-12-23
The Horse Whisperer,The Horse Whisperer,547,tt0119314,false,170,60000000,186883563,944,6.891,en,1998-02-01
Rashomon,羅生門,548,tt0042876,false,88,250000,96568,1700,8.151,ja,1950-08-26
Basquiat,Basquiat,549,tt0115632,false,108,2962051,3011195,236,6.7,en,1996-08-09
Fight Club,Fight Club,550,tt0137523,false,139,63000000,100853753,24648,8.431,en,1999-10-15
The Poseidon Adventure,The Poseidon Adventure,551,tt0069113,false,117,5000000,84563118,668,7.141,en,1972-12-13
Bread and Tulips,Pane e tulipani,552,tt0237539,false,114,0,8478434,214,7.292,it,2000-03-03
Dogville,Dogville,553,tt0276919,false,178,10000000,16680836,1970,7.792,en,2003-05-19
The Cuckoo,Кукушка,554,tt0308476,false,100,0,0,66,7.045,ru,2002-01-01
Absolut,Absolut,555,tt0442896,false,94,0,0,20,7.9,en,2005-04-20
