title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,601,tt0083866,false,115,10500000,792965500,9657,7.505,en,1982-06-11
Independence Day,Independence Day,602,tt0116629,false,145,75000000,817400891,8195,6.851,en,1996-06-25
The Matrix,The Matrix,603,tt0133093,false,136,63000000,463517383,21965,8.189,en,1999-03-30
The Matrix Reloaded,The Matrix Reloaded,604,tt0234215,false,138,150000000,738599701,9235,7.024,en,2003-05-15
The Matrix Revolutions,The Matrix Revolutions,605,tt0242653,false,129,150000000,424988211,8297,6.701,en,2003-11-05
Out of Africa,Out of Africa,606,tt0089755,false,161,31000000,128499205,1115,7.205,en,1985-12-20
Men in Black,Men in Black,607,tt0119654,false,98,90000000,589390539,11859,7.169,en,1997-07-02
Men in Black II,Men in Black II,608,tt0120912,false,88,140000000,445135288,8541,6.348,en,2002-07-03
Poltergeist,Poltergeist,609,tt0084516,false,114,10700000,122200000,2384,7.1,en,1982-06-04
Munich,Munich,612,tt0408306,false,164,70000000,130982129,2121,7.135,en,2005-12-23
Downfall,Der Untergang,613,tt0363163,false,156,18339750,92180910,3080,7.829,de,2004-09-16
Wild Strawberries,Smultronstället,614,tt0050986,false,91,0,0,1285,8.138,sv,1957-12-26
The Passion of the Christ,The Passion of the Christ,615,tt0335345,false,127,30000000,611899420,3538,7.42,en,2004-02-25
The Last Samurai,The Last Samurai,616,tt0325710,false,154,140000000,456758981,5748,7.554,en,2003-12-05
Wild Things,Wild Things,617,tt0120890,false,108,20000000,67200000,1365,6.349,en,1998-03-20
The Birth of a Nation,The Birth of a Nation,618,tt0004972,false,193,100000,11000000,414,6.063,en,1915-02-08
The Bodyguard,The Bodyguard,619,tt0103855,false,129,25000000,411006740,2392,6.662,en,1992-11-25
Ghostbusters,Ghostbusters,620,tt0087332,false,107,30000000,296187079,7479,7.461,en,1984-06-08
Grease,Grease,621,tt0077631,false,110,6000000,181813770,6227,7.4,en,1978-07-07
The Ninth Gate,The Ninth Gate,622,tt0142688,false,133,38000000,58401898,2389,6.442,en,1999-08-25
A Fish Called Wanda,A Fish Called Wanda,623,tt0095159,false,109,7500000,62493712,1719,7.217,en,1988-07-15
Easy Rider,Easy Rider,624,tt0064276,false,95,400000,60000000,1613,7.086,en,1969-06-26
The Killing Fields,The Killing Fields,625,tt0087553,false,142,14400000,34700291,566,7.534,en,1984-11-23
Un Chien Andalou,Un chien andalou,626,tt0020530,false,21,0,0,1012,7.555,fr,1929-06-05
Trainspotting,Trainspotting,627,tt0117951,false,94,4000000,16491080,8326,7.976,en,1996-02-23
Interview with the Vampire,Interview with the Vampire,628,tt0110148,false,123,60000000,223664608,4798,7.379,en,1994-11-11
The Usual Suspects,The Usual Suspects,629,tt0114814,false,106,6000000,23341568,8773,8.2,en,1995-07-19
The Wizard of Oz,The Wizard of Oz,630,tt0032138,false,102,2777000,33754967,4613,7.579,en,1939-08-15
Sunrise: A Song of Two Humans,Sunrise: A Song of Two Humans,631,tt0018455,false,94,0,0,607,7.906,en,1927-11-04
Stalag 17,Stalag 17,632,tt0046359,false,120,1661530,0,451,7.749,en,1953-05-29
