title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Rio Bravo,Rio Bravo,301,tt0053221,false,141,0,5800000,875,7.894,en,1959-03-17
Swimming Pool,Swimming Pool,302,tt0324133,false,102,7800000,22441323,536,6.486,en,2003-05-21
Notorious,Notorious,303,tt0038787,false,103,1000000,24500000,1231,7.8,en,1946-08-21
Beverly Hills Cop III,Beverly Hills Cop III,306,tt0109254,false,105,50000000,119208989,1416,5.867,en,1994-05-24
"Rome, Open City",Roma città aperta,307,tt0038890,false,103,20000,1000000,672,8.023,it,1945-10-08
Broken Flowers,Broken Flowers,308,tt0412019,false,106,10000000,46720491,1049,6.915,en,2005-08-05
The Celebration,Festen,309,tt0154420,false,105,1300000,0,756,7.744,da,1998-06-19
Bruce Almighty,Bruce Almighty,310,tt0315327,false,101,80000000,484592874,9310,6.693,en,2003-05-23
Once Upon a Time in America,Once Upon a Time in America,311,tt0087843,false,229,30000000,5472914,4292,8.447,en,1984-05-23
Beyond Silence,Jenseits der Stille,312,tt0116692,false,109,0,0,51,6.9,de,1996-12-18
Snow Cake,Snow Cake,313,tt0448124,false,112,12000000,1381665,139,7.1,en,2006-09-08
Catwoman,Catwoman,314,tt0327554,false,104,100000000,82102379,2829,4.594,en,2004-07-22
"Faster, Pussycat! Kill! Kill!","Faster, Pussycat! Kill! Kill!",315,tt0059170,false,84,45000,0,236,6.43,en,1965-08-06
Grill Point,Halbe Treppe,316,tt0304126,false,111,600000,0,18,6.7,de,2002-02-12
Grbavica: The Land of My Dreams,Grbavica,317,tt0464029,false,90,0,0,49,6.898,bs,2006-03-01
The Million Dollar Hotel,The Million Dollar Hotel,318,tt0120753,false,122,8000000,105983,254,5.915,en,2000-02-09
True Romance,True Romance,319,tt0108399,false,120,12500000,12600000,2179,7.55,en,1993-09-09
Insomnia,Insomnia,320,tt0278504,false,118,46000000,113714830,3839,6.937,en,2002-05-24
Mambo Italiano,Mambo Italiano,321,tt0330602,false,89,4361898,3031801,69,5.826,en,2003-06-06
Mystic River,Mystic River,322,tt0327056,false,138,25000000,156822020,5377,7.747,en,2003-01-01
Snakes on a Plane,Snakes on a Plane,326,tt0417148,false,105,33000000,62022014,1437,5.381,en,2006-08-17
Brother,Brother,327,tt0222851,false,114,12000000,15250000,325,7.123,en,2000-12-13
Jurassic Park,Jurassic Park,329,tt0107290,false,127,63000000,920100000,13856,7.924,en,1993-06-11
The Lost World: Jurassic Park,The Lost World: Jurassic Park,330,tt0119567,false,129,73000000,618638999,7045,6.517,en,1997-05-23
Jurassic Park III,Jurassic Park III,331,tt0163025,false,92,93000000,368780809,5993,6.107,en,2001-07-18
Inspector Gadget,Inspector Gadget,332,tt0141369,false,78,75000000,134400000,996,4.429,en,1999-07-23
Bollywood/Hollywood,Bollywood/Hollywood,333,tt0303785,false,101,0,0,24,6.3,en,2002-01-01
Magnolia,Magnolia,334,tt0175880,false,189,37000000,48451803,2869,7.723,en,1999-12-10
Once Upon a Time in the West,C\'era una volta il West,335,tt0064116,false,166,5000000,5380118,3477,8.315,it,1968-12-21
"Duck, You Sucker",Giù la testa,336,tt0067140,false,157,0,0,828,7.75,it,1971-10-20
Monsieur Ibrahim,Monsieur Ibrahim et les Fleurs du Coran,337,tt0329388,false,91,0,11576431,116,7,fr,2003-09-17
Good Bye Lenin!,Good Bye Lenin!,338,tt0301357,false,121,4800000,79384880,1979,7.565,de,2003-02-09
Night on Earth,Night on Earth,339,tt0102536,false,128,3500000,2015810,653,7.552,en,1991-12-12
Everything Is Illuminated,Everything Is Illuminated,340,tt0404030,false,106,7000000,2697930,625,7.267,en,2005-09-16
A Crime,A Crime,341,tt0489010,false,103,0,0,26,5.731,en,2006-09-11
Summer Storm,Sommersturm,342,tt0420206,false,98,2700000,2085166,162,6.735,de,2004-09-02
Harold and Maude,Harold and Maude,343,tt0067185,false,91,1200000,0,842,7.66,en,1971-12-20
"Bang, Boom, Bang",Bang Boom Bang - Ein todsicheres Ding,344,tt0135790,false,110,2888030,0,157,7.5,de,1999-08-26
Eyes Wide Shut,Eyes Wide Shut,345,tt0120663,false,159,65000000,162091208,4912,7.464,en,1999-07-16
Seven Samurai,七人の侍,346,tt0047478,false,207,2000000,346300,2761,8.46,ja,1954-04-26
People on Sunday,Menschen am Sonntag,347,tt0020163,false,74,0,0,73,7.3,de,1930-02-04
Alien,Alien,348,tt0078748,false,117,11000000,104931801,11940,8.135,en,1979-05-25
Cockles and Muscles,Crustacés et coquillages,349,tt0428430,false,93,0,0,27,6,fr,2005-03-30
The Devil Wears Prada,The Devil Wears Prada,350,tt0458352,false,109,35000000,326551094,10230,7.4,en,2006-06-29
Longing,Sehnsucht,351,tt0416213,false,88,1000000,0,14,6.3,de,2006-02-15
Head-On,Gegen die Wand,363,tt0347048,false,117,0,11030861,434,7.43,de,2004-03-11
Batman Returns,Batman Returns,364,tt0103776,false,126,80000000,280000000,5379,6.889,en,1992-06-19
A Nightmare on Elm Street,A Nightmare on Elm Street,377,tt0087800,false,91,1800000,25685134,4093,7.304,en,1984-11-09
Raising Arizona,Raising Arizona,378,tt0093822,false,94,6000000,29180280,1657,7.029,en,1987-03-01
Miller\'s Crossing,Miller\'s Crossing,379,tt0100150,false,115,14000000,5080409,1298,7.5,en,1990-09-21
Rain Man,Rain Man,380,tt0095953,false,134,25000000,354825435,5239,7.76,en,1988-12-11
To Catch a Thief,To Catch a Thief,381,tt0048728,false,107,2500000,8750000,1183,7.364,en,1955-08-03
Mala Noche,Mala Noche,383,tt0089537,false,75,22500,0,90,6.3,en,1986-02-05
Das Boot,Das Boot,387,tt0082096,false,150,14000000,85000000,1716,8.081,de,1981-09-17
Inside Man,Inside Man,388,tt0454848,false,129,45000000,186003591,4820,7.4,en,2006-03-17
12 Angry Men,12 Angry Men,389,tt0050083,false,97,350000,1000000,6603,8.521,en,1957-04-10
Lisbon Story,Lisbon Story,390,tt0110361,false,100,0,0,84,7.3,en,1994-12-16
A Fistful of Dollars,Per un pugno di dollari,391,tt0058461,false,99,200000,14500000,3377,7.883,it,1964-01-18
Chocolat,Chocolat,392,tt0241303,false,121,25000000,152500343,2845,6.953,en,2000-03-02
Kill Bill: Vol. 2,Kill Bill: Vol. 2,393,tt0378194,false,136,30000000,152159461,11955,7.877,en,2004-04-16
AVP: Alien vs. Predator,AVP: Alien vs. Predator,395,tt0370263,false,101,70000000,177427090,3598,5.884,en,2004-08-12
Who\'s Afraid of Virginia Woolf?,Who\'s Afraid of Virginia Woolf?,396,tt0061184,false,131,7500000,33736689,628,7.815,en,1966-06-22
French Kiss,French Kiss,397,tt0113117,false,111,0,101982854,595,6.4,en,1995-05-05
Capote,Capote,398,tt0379725,false,114,7000000,49327405,1159,7.019,en,2005-09-30
Things to Do in Denver When You\'re Dead,Things to Do in Denver When You\'re Dead,400,tt0114660,false,116,8000000,529766,297,6.537,en,1995-12-01
