title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Ariel,Ariel,2,tt0094675,false,73,0,0,172,6.881,fi,1988-10-21
Shadows in Paradise,Varjoja paratiisissa,3,tt0092149,false,74,0,0,183,7.112,fi,1986-10-17
Four Rooms,Four Rooms,5,tt0113101,false,98,4000000,4257354,2197,5.686,en,1995-12-09
Judgment Night,Judgment Night,6,tt0107286,false,109,21000000,12136938,251,6.568,en,1993-10-15
Life in Loops (A Megacities RMX),Life in Loops (A Megacities RMX),8,tt0825671,false,80,42000,0,20,7.775,en,2006-01-01
Sunday in August,Sonntag im August,9,tt0425473,false,15,0,0,13,7.3,de,2004-09-02
Star Wars,Star Wars,11,tt0076759,false,121,11000000,775398007,17595,8.205,en,1977-05-25
Finding Nemo,Finding Nemo,12,tt0266543,false,100,94000000,940335536,16719,7.8,en,2003-05-30
Forrest Gump,Forrest Gump,13,tt0109830,false,142,55000000,677387716,23171,8.5,en,1994-06-23
American Beauty,American Beauty,14,tt0169547,false,122,15000000,356296601,10433,8.033,en,1999-09-15
Citizen Kane,Citizen Kane,15,tt0033467,false,119,839727,23218000,4516,8.03,en,1941-04-17
Dancer in the Dark,Dancer in the Dark,16,tt0168629,false,141,12800000,40031879,1438,7.9,en,2000-06-30
The Dark,The Dark,17,tt0411267,false,87,0,0,211,5.818,en,2005-09-28
The Fifth Element,The Fifth Element,18,tt0119116,false,126,90000000,263920180,9120,7.513,en,1997-05-02
Metropolis,Metropolis,19,tt0017136,false,149,1300000,650422,2121,8.171,de,1927-02-06
My Life Without Me,My Life Without Me,20,tt0314412,false,106,2500000,12300000,377,5.853,en,2003-03-07
The Endless Summer,The Endless Summer,21,tt0060371,false,91,0,0,82,7.3,en,1966-06-15
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,22,tt0325980,false,143,140000000,655011224,17828,7.8,en,2003-07-09
Kill Bill: Vol. 1,Kill Bill: Vol. 1,24,tt0266697,false,111,30000000,180906076,14915,7.968,en,2003-10-10
Jarhead,Jarhead,25,tt0418763,false,123,72000000,97076152,2343,6.583,en,2005-11-04
Walk on Water,LaLehet Al HaMayim,26,tt0352994,false,103,1400000,444,67,6.903,he,2004-02-05
9 Songs,9 Songs,27,tt0411705,false,69,1000000,1574623,402,5.65,en,2004-05-16
Apocalypse Now,Apocalypse Now,28,tt0078788,false,147,31500000,150000000,6682,8.282,en,1979-08-15
Unforgiven,Unforgiven,33,tt0105695,false,130,14400000,159157447,3500,7.934,en,1992-08-07
The Simpsons Movie,The Simpsons Movie,35,tt0462538,false,87,75000000,527068851,6894,6.987,en,2007-07-25
Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,38,tt0338013,false,108,20000000,72258126,12535,8.1,en,2004-03-19
Amores Perros,Amores perros,55,tt0245712,false,154,2000000,20908467,2071,7.615,es,2000-06-16
Pirates of the Caribbean: Dead Man\'s Chest,Pirates of the Caribbean: Dead Man\'s Chest,58,tt0383574,false,151,200000000,1065659812,13758,7.327,en,2006-07-06
A History of Violence,A History of Violence,59,tt0399146,false,96,32000000,60740827,2602,7.167,en,2005-09-23
2001: A Space Odyssey,2001: A Space Odyssey,62,tt0062622,false,149,12000000,71923560,9548,8.073,en,1968-04-02
Twelve Monkeys,Twelve Monkeys,63,tt0114746,false,129,29000000,168841459,7018,7.599,en,1995-12-29
Talk to Her,Hable con ella,64,tt0287467,false,112,0,51001550,1023,7.6,es,2002-03-15
8 Mile,8 Mile,65,tt0298203,false,111,41000000,242875078,6021,7.114,en,2002-11-08
Absolute Power,Absolute Power,66,tt0118548,false,121,50000000,50068310,842,6.648,en,1997-02-14
Paradise Now,Paradise Now,67,tt0445620,false,90,2000000,3395627,196,6.939,en,2005-09-07
Brazil,Brazil,68,tt0088846,false,143,15000000,9900000,2733,7.688,en,1985-02-20
Walk the Line,Walk the Line,69,tt0358273,false,136,28000000,186797986,2386,7.502,en,2005-09-13
Million Dollar Baby,Million Dollar Baby,70,tt0405159,false,132,30000000,216763646,8121,7.962,en,2004-12-15
Billy Elliot,Billy Elliot,71,tt0249462,false,110,5000000,109280263,3279,7.592,en,2000-09-28
American History X,American History X,73,tt0120586,false,119,20000000,23875127,9777,8.365,en,1998-07-01
War of the Worlds,War of the Worlds,74,tt0407304,false,117,132000000,603873119,7051,6.478,en,2005-06-28
