title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Garden State,Garden State,401,tt0333766,false,102,2500000,26781723,1512,7.104,en,2004-07-28
Basic Instinct,Basic Instinct,402,tt0103772,false,127,49000000,352927224,3058,6.88,en,1992-03-20
Driving Miss Daisy,Driving Miss Daisy,403,tt0097239,false,99,7500000,145793296,1253,7.2,en,1989-12-13
The Straight Story,The Straight Story,404,tt0166896,false,112,10000000,6203044,1197,7.7,en,1999-10-15
La Strada,La strada,405,tt0047528,false,115,0,0,816,7.979,it,1954-09-23
La Haine,La Haine,406,tt0113247,false,98,2600000,15300000,3104,8.083,fr,1995-05-31
Short Sharp Shock,Kurz und schmerzlos,407,tt0162426,false,93,500000,0,38,6.526,de,1998-10-15
Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,408,tt0029583,false,83,1488423,184925486,6314,7.1,en,1937-12-08
The English Patient,The English Patient,409,tt0116209,false,162,27000000,231976425,1714,7.167,en,1996-11-05
Summer in Berlin,Sommer vorm Balkon,410,tt0477877,false,105,0,0,34,6.691,de,2005-09-09
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,tt0363771,false,143,180000000,745013115,8779,7.101,en,2005-12-07
Batman Forever,Batman Forever,414,tt0112462,false,121,100000000,336529144,4379,5.394,en,1995-06-16
Batman & Robin,Batman & Robin,415,tt0118688,false,125,125000000,238207122,4251,4.324,en,1997-06-20
About the Looking for and the Finding of Love,Vom Suchen und Finden der Liebe,419,tt0383041,false,105,0,0,12,4.5,de,2005-01-27
The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou,421,tt0362270,false,119,50000000,34808403,2321,7.148,en,2004-12-10
8½,8½,422,tt0056801,false,139,0,0,1828,8.236,it,1963-02-14
The Pianist,The Pianist,423,tt0253474,false,150,35000000,120072577,7450,8.379,en,2002-09-17
Schindler\'s List,Schindler\'s List,424,tt0108052,false,195,22000000,321365567,13068,8.617,en,1993-12-15
Ice Age,Ice Age,425,tt0268380,false,81,59000000,383257136,11334,7.3,en,2002-03-10
Vertigo,Vertigo,426,tt0052357,false,128,2479000,7797728,4707,8.209,en,1958-05-28
Mon Oncle,Mon oncle,427,tt0050706,false,118,0,0,403,7.381,fr,1958-05-10
Summer \'04,Sommer \'04,428,tt0806679,false,97,0,0,18,5.8,de,2006-10-11
"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",429,tt0060196,false,161,1200000,25253887,6814,8.488,it,1966-12-23
"One, Two, Three","One, Two, Three",430,tt0055256,false,115,3000000,4000000,282,7.606,en,1961-12-15
Cube,Cube,431,tt0123755,false,90,350000,8969065,3887,6.797,en,1997-09-09
Mary Poppins,Mary Poppins,433,tt0058331,false,139,6000000,103082380,4035,7.569,en,1964-12-17
Tough Enough,Knallhart,434,tt0475317,false,98,0,0,40,6.7,de,2006-03-09
The Day After Tomorrow,The Day After Tomorrow,435,tt0319262,false,124,125000000,552639571,6770,6.483,en,2004-05-26
Maria Full of Grace,"María, llena eres de gracia",436,tt0390221,false,101,3000000,12450821,307,7.265,es,2004-01-18
Cube 2: Hypercube,Cube 2: Hypercube,437,tt0285492,false,94,0,3563603,1152,5.483,en,2002-04-15
Cube Zero,Cube Zero,438,tt0377713,false,97,825000,0,827,5.657,en,2004-10-10
La Dolce Vita,La dolce vita,439,tt0053779,false,176,0,19647000,1521,8.162,it,1960-02-05
Aliens vs Predator: Requiem,Aliens vs Predator: Requiem,440,tt0758730,false,94,40000000,130290885,2283,5.153,en,2007-12-25
Human Nature,Human Nature,441,tt0219822,false,96,6000000,1600000,196,6,en,2001-09-12
Popular Music,Populärmusik från Vittula,442,tt0314524,false,105,2224000,28000000,41,6.341,sv,2004-10-01
Caché,Caché,445,tt0387898,false,117,8731048,36000000,819,7.073,fr,2005-10-05
Distant Lights,Lichter,446,tt0351238,false,105,0,0,23,7.5,de,2003-02-11
Leaving Las Vegas,Leaving Las Vegas,451,tt0113627,false,111,3600000,49800000,1111,7.256,en,1995-10-27
The Idiots,Idioterne,452,tt0154421,false,117,2500000,7235,415,6.464,da,1998-04-28
A Beautiful Mind,A Beautiful Mind,453,tt0268978,false,135,60000000,313542341,8694,7.851,en,2001-12-11
Romeo + Juliet,Romeo + Juliet,454,tt0117509,false,120,14500000,147298761,4315,6.797,en,1996-11-01
Bend It Like Beckham,Bend It Like Beckham,455,tt0286499,false,112,3500159,76578641,1613,6.295,en,2002-04-11
Sissi,Sissi,457,tt0048624,false,102,0,0,396,7.4,de,1955-12-22
Sissi: The Young Empress,Sissi - Die junge Kaiserin,458,tt0049762,false,107,0,0,277,7.2,de,1956-12-01
Sissi: The Fateful Years of an Empress,Sissi - Schicksalsjahre einer Kaiserin,459,tt0050974,false,109,0,0,272,7.2,de,1957-12-18
Go for Zucker,Alles auf Zucker!,460,tt0416331,false,91,0,0,38,6.4,de,2004-12-31
Erin Brockovich,Erin Brockovich,462,tt0195685,false,131,52000000,256271286,2548,7.4,en,2000-03-17
As It Is in Heaven,Så som i himmelen,464,tt0382330,false,132,0,0,127,7.13,sv,2004-09-03
36 Fillette,36 Fillette,465,tt0094596,false,88,0,0,22,5.3,fr,1988-03-03
Klute,Klute,466,tt0067309,false,114,2500000,12512637,296,6.84,en,1971-06-23
The Hole,The Hole,467,tt0242527,false,102,0,7819851,674,6.217,en,2001-04-20
My Own Private Idaho,My Own Private Idaho,468,tt0102494,false,104,2500000,6401336,915,7.081,en,1991-02-01
Stranger Than Paradise,Stranger Than Paradise,469,tt0088184,false,89,0,0,396,7.2,en,1984-10-01
21 Grams,21 Grams,470,tt0315733,false,124,20000000,60427839,2598,7.36,en,2003-09-06
Bandyta,Bandyta,471,tt0129774,false,102,0,0,16,6.2,en,1997-11-07
Pi,Pi,473,tt0138704,false,84,60000,3221152,1794,7.125,en,1998-07-10
Bonnie and Clyde,Bonnie and Clyde,475,tt0061418,false,110,2500000,50700000,1266,7.498,en,1967-07-18
Drugstore Cowboy,Drugstore Cowboy,476,tt0097240,false,98,2500000,4729352,397,7.161,en,1989-10-20
Shaft,Shaft,479,tt0162650,false,99,46000000,107626125,1040,5.965,en,2000-06-15
Monsoon Wedding,Monsoon Wedding,480,tt0265343,false,114,0,0,161,6.835,hi,2001-08-30
7 Virgins,7 vírgenes,481,tt0461894,false,86,0,0,49,5.9,es,2005-10-14
Shaft,Shaft,482,tt0067741,false,100,4000000,12121618,263,6.5,en,1971-06-25
Wild at Heart,Wild at Heart,483,tt0100935,false,124,9500000,14560247,1279,7,en,1990-08-17
The African Queen,The African Queen,488,tt0043265,false,105,1000000,10750000,717,7.367,en,1952-01-07
Good Will Hunting,Good Will Hunting,489,tt0119217,false,127,10000000,225933435,9884,8.143,en,1997-12-05
The Seventh Seal,Det sjunde inseglet,490,tt0050976,false,96,0,0,2403,8.222,sv,1957-02-16
Ghettokids - Brüder ohne Heimat,Ghettokids - Brüder ohne Heimat,491,tt0301343,false,90,0,0,6,8,de,2002-07-04
Being John Malkovich,Being John Malkovich,492,tt0120601,false,113,13000000,22863596,3571,7.418,en,1999-10-29
Shaft\'s Big Score!,Shaft\'s Big Score!,493,tt0069257,false,104,1978000,10000000,36,6,en,1972-06-08
Shaft in Africa,Shaft in Africa,494,tt0070679,false,112,2142000,1458000,36,6.1,en,1973-06-14
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,496,tt0443453,false,84,18000000,262552893,4464,6.741,en,2006-11-01
The Green Mile,The Green Mile,497,tt0120689,false,189,60000000,286801374,14291,8.51,en,1999-12-10
