title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
We Own the Night,We Own the Night,2001,tt0498399,false,117,21000000,54926886,1093,6.68,en,2007-10-09
The Last Mistress,Une vieille maîtresse,2002,tt0437526,false,114,6000000,1831577,42,5.9,fr,2007-01-01
Anatomy of Hell,Anatomie de l\'enfer,2003,tt0348529,false,77,0,0,87,4.828,fr,2004-01-28
Kebab Connection,Kebab Connection,2004,tt0177882,false,96,0,0,52,6.538,de,2004-04-21
Sister Act,Sister Act,2005,tt0105417,false,100,31000000,231605150,2662,6.829,en,1992-05-28
"Bell, Book and Candle","Bell, Book and Candle",2006,tt0051406,false,106,0,0,165,6.5,en,1958-12-25
Lorenzo\'s Oil,Lorenzo\'s Oil,2007,tt0104756,false,135,0,7286388,430,7.062,en,1992-12-30
The Promise,无极,2008,tt0417976,false,121,0,0,85,5.418,zh,2005-12-15
"4 Months, 3 Weeks and 2 Days","4 luni, 3 săptămîni și 2 zile",2009,tt1032846,false,114,852510,1185783,568,7.6,ro,2007-08-24
The Mourning Forest,殯の森,2010,tt1016205,false,97,0,0,35,6.9,ja,2007-05-29
Persepolis,Persepolis,2011,tt0808417,false,95,7300000,0,1574,7.921,fr,2007-06-27
Silent Light,Stellet Licht,2012,tt0841925,false,136,0,0,91,6.989,de,2007-10-02
The Diving Bell and the Butterfly,Le scaphandre et le papillon,2013,tt0401383,false,112,14000020,19777647,960,7.579,fr,2007-05-23
The Edge of Heaven,Auf der anderen Seite,2014,tt0880502,false,122,3800000,17804565,234,7.233,de,2007-09-27
Secret Sunshine,밀양,2015,tt0817225,false,142,2900000,11581469,151,7.1,ko,2007-05-17
Days of Glory,Indigènes,2016,tt0444182,false,128,14500000,22963701,310,6.716,fr,2006-09-27
No Good Deed,No Good Deed,2017,tt0292610,false,97,12000000,0,136,5.4,en,2002-06-28
The Wedding Planner,The Wedding Planner,2018,tt0209475,false,103,35000000,94728529,1424,5.934,en,2001-01-26
Hard Target,Hard Target,2019,tt0107076,false,97,18000000,74189677,873,6.284,en,1993-08-20
The Bachelor,The Bachelor,2020,tt0120596,false,101,51000000,36911617,263,5.156,en,1999-11-05
Jack & Sarah,Jack & Sarah,2021,tt0113448,false,110,0,218626,43,6.814,en,1995-06-02
Mr. Deeds,Mr. Deeds,2022,tt0280590,false,96,50000000,171269535,1872,5.811,en,2002-06-28
Hidalgo,Hidalgo,2023,tt0317648,false,136,100000000,108103450,980,6.789,en,2004-02-04
The Patriot,The Patriot,2024,tt0187393,false,165,110000000,215294342,3214,7.153,en,2000-06-28
A Few Days with Me,Quelques jours avec moi,2025,tt0095943,false,129,0,0,27,5.7,fr,1988-08-14
Hostage,Hostage,2026,tt0340163,false,113,52000000,77944725,1370,6.339,en,2005-03-10
Say Anything...,Say Anything...,2028,tt0098258,false,100,16000000,20036737,796,7.1,en,1989-04-14
Tanguy,Tanguy,2029,tt0274155,false,108,0,24272365,389,6,fr,2001-11-21
Confessions of Felix Krull,Bekenntnisse des Hochstaplers Felix Krull,2030,tt0050179,false,108,0,0,6,7.3,de,1957-04-24
Resurrection,Auferstehung,2031,tt0051382,false,105,0,0,1,6,de,1958-10-21
Transit,Peregon,2032,tt0416111,false,140,0,0,5,4.8,ru,2006-06-04
Infinity,Infinity,2033,tt0116635,false,119,0,0,11,6.8,en,1996-10-04
Training Day,Training Day,2034,tt0139654,false,122,45000000,104876233,4813,7.462,en,2001-10-05
Touch and Die,Touch and Die,2035,tt0103108,false,180,0,0,2,3,en,1991-01-01
Avalanche Express,Avalanche Express,2036,tt0078812,false,85,0,0,25,4.3,en,1979-09-27
Aphrodite,Aphrodite,2037,tt0083572,false,95,0,0,5,2.9,fr,1982-01-01
Iron Eagle III,Iron Eagle III,2038,tt0103617,false,98,0,0,42,3.9,en,1992-01-09
Moonstruck,Moonstruck,2039,tt0093565,false,102,15000000,80640528,699,6.877,en,1987-12-16
Savior,Savior,2042,tt0120070,false,103,10000000,0,132,7.212,hu,1998-06-01
Along Came a Spider,Along Came a Spider,2043,tt0164334,false,104,60000000,105178561,1484,6.324,en,2001-04-06
The Lake House,The Lake House,2044,tt0410297,false,99,40000000,114830111,2296,6.958,en,2006-06-16
Unforgettable,Unforgettable,2045,tt0118040,false,106,18000000,0,83,5.657,en,1996-02-23
The Gift,The Gift,2046,tt0219699,false,112,10000000,12008642,941,6.431,en,2000-03-16
The Real McCoy,The Real McCoy,2047,tt0107927,false,100,0,6484246,189,5.743,en,1993-09-10
"I, Robot","I, Robot",2048,tt0343818,false,115,120000000,347234916,10142,6.926,en,2004-07-15
How to Cook Your Life,How to Cook Your Life,2049,tt0943512,false,93,0,0,7,5,en,2007-05-10
Mr. Holland\'s Opus,Mr. Holland\'s Opus,2054,tt0113862,false,137,31000000,106269971,320,7.033,en,1995-12-29
Open Range,Open Range,2055,tt0316356,false,139,22000000,68296293,847,7.209,en,2003-08-29
The Station Agent,The Station Agent,2056,tt0340377,false,88,500000,8679814,521,7.445,en,2003-01-26
Original Sin,Original Sin,2057,tt0218922,false,118,42000000,35402320,673,6.065,en,2001-05-08
Addicted to Love,Addicted to Love,2058,tt0118556,false,100,0,34673095,333,6.2,en,1997-05-23
National Treasure,National Treasure,2059,tt0368891,false,131,100000000,347512318,5352,6.593,en,2004-11-19
Spoiled Children,Des enfants gâtés,2060,tt0075933,false,114,0,0,13,5.9,fr,1977-09-06
Pusher,Pusher,2061,tt0117407,false,105,965000,0,570,6.979,da,1996-08-30
Ratatouille,Ratatouille,2062,tt0382932,false,111,150000000,623726000,14250,7.782,en,2007-06-28
While You Were Sleeping,While You Were Sleeping,2064,tt0114924,false,103,17000000,182057016,1387,6.946,en,1995-04-21
Could This Be Love?,Je crois que je l\'aime,2065,tt0488565,false,90,5621000,6699197,21,6.2,fr,2007-02-08
Mission to Mars,Mission to Mars,2067,tt0183523,false,114,90000000,60874615,1150,5.983,en,2000-03-10
The Whole Nine Yards,The Whole Nine Yards,2069,tt0190138,false,98,41300000,106371651,1515,6.5,en,2000-02-18
Love in 4 Easy Lessons,"Spogliamoci così, senza pudor...",2070,tt0075255,false,87,0,0,4,3,it,1976-01-01
Shattered,Shattered,2071,tt0102900,false,98,22000000,11511031,123,6.256,en,1991-10-11
Cyberjack,Cyberjack,2072,tt0112763,false,99,2000000,0,11,5.5,en,1995-09-19
Flirting with Disaster,Flirting with Disaster,2074,tt0116324,false,92,7000000,14702438,189,6.246,en,1996-03-22
Prizzi\'s Honor,Prizzi\'s Honor,2075,tt0089841,false,124,0,26657534,287,6.4,en,1985-06-14
Swindle,Swindle,2076,tt0190938,false,93,0,0,12,4.5,en,2002-04-01
The Rink,The Rink,2077,tt0007264,false,24,0,0,93,6.823,en,1916-12-04
The Pawnshop,The Pawnshop,2078,tt0007162,false,26,0,0,84,6.738,en,1916-10-02
The Count,The Count,2079,tt0006548,false,24,0,0,60,6.275,en,1916-09-04
