title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Léon: The Professional,Léon: The Professional,101,tt0110413,false,111,16000000,45284974,12382,8.321,en,1994-09-14
Open Hearts,Elsker dig for evigt,102,tt0315543,false,113,0,0,77,6.87,da,2002-09-06
Taxi Driver,Taxi Driver,103,tt0075314,false,114,1300000,28570902,9675,8.176,en,1976-02-09
Run Lola Run,Lola rennt,104,tt0130827,false,81,1530000,7267585,1775,7.326,de,1998-03-03
Back to the Future,Back to the Future,105,tt0088763,false,116,19000000,381109762,16884,8.307,en,1985-07-03
Predator,Predator,106,tt0093773,false,107,15000000,98267558,6423,7.489,en,1987-06-12
Snatch,Snatch,107,tt0208092,false,103,10000000,83557872,7496,7.798,en,2000-01-19
Three Colors: Blue,Trois couleurs : Bleu,108,tt0108394,false,98,0,0,1293,7.683,fr,1993-09-08
Three Colors: White,Trois couleurs : Blanc,109,tt0111507,false,92,0,0,892,7.48,fr,1994-01-26
Three Colors: Red,Trois couleurs : Rouge,110,tt0111495,false,100,0,0,1049,7.967,fr,1994-05-12
Scarface,Scarface,111,tt0086250,false,170,25000000,66023329,9520,8.164,en,1983-12-09
Italian for Beginners,Italiensk for begyndere,112,tt0243862,false,95,1000000,16350876,100,6.455,da,2000-12-07
"Spring, Summer, Fall, Winter... and Spring",봄 여름 가을 겨울 그리고 봄,113,tt0374546,false,103,0,8945072,845,7.831,ko,2003-09-19
Pretty Woman,Pretty Woman,114,tt0100405,false,119,14000000,463406268,6581,7.424,en,1990-03-23
The Big Lebowski,The Big Lebowski,115,tt0118715,false,117,15000000,46969409,9518,7.845,en,1998-03-06
Match Point,Match Point,116,tt0416320,false,124,15000000,85306374,3481,7.347,en,2005-10-26
The Untouchables,The Untouchables,117,tt0094226,false,119,25000000,76270454,4700,7.768,en,1987-06-03
Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,118,tt0367594,false,115,150000000,474968763,12860,7.032,en,2005-07-13
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,120,tt0120737,false,179,93000000,871368364,21363,8.385,en,2001-12-18
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,121,tt0167261,false,179,79000000,926287400,18511,8.368,en,2002-12-18
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,122,tt0167260,false,201,94000000,1118888979,20028,8.48,en,2003-12-01
The Lord of the Rings,The Lord of the Rings,123,tt0077869,false,132,4000000,30471420,663,6.564,en,1978-11-15
No End,Bez końca,124,tt0086961,false,108,0,0,61,7.3,pl,1985-06-17
Railway Station,Dworzec,125,tt0080668,false,13,0,0,16,5.9,pl,1980-01-01
Short Working Day,Krótki dzień pracy,126,tt0082631,false,73,0,0,5,6.8,pl,1981-01-01
