title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Batman Begins,Batman Begins,272,tt0372784,false,140,150000000,374218673,18051,7.695,en,2005-06-10
The White Sound,Das weisse Rauschen,273,tt0276617,false,107,250000,0,45,6.844,de,2001-12-31
The Silence of the Lambs,The Silence of the Lambs,274,tt0102926,false,119,19000000,272742922,13592,8.34,en,1991-02-01
Fargo,Fargo,275,tt0116282,false,98,7000000,60611975,6553,7.879,en,1996-03-08
The Edukators,Die fetten Jahre sind vorbei,276,tt0408777,false,127,0,0,274,7.122,de,2004-10-25
Underworld,Underworld,277,tt0320691,false,122,22000000,95708457,5325,6.8,en,2003-09-19
The Shawshank Redemption,The Shawshank Redemption,278,tt0111161,false,142,25000000,28341469,22046,8.724,en,1994-09-23
Amadeus,Amadeus,279,tt0086879,false,160,18000000,51973029,3432,8.026,en,1984-09-19
Terminator 2: Judgment Day,Terminator 2: Judgment Day,280,tt0103064,false,137,102000000,520000000,10612,8.079,en,1991-07-03
Strange Days,Strange Days,281,tt0114558,false,145,42000000,7959291,1030,7.014,en,1995-10-13
The Apartment,The Apartment,284,tt0053604,false,125,3000000,25000000,1760,8.228,en,1960-06-21
Pirates of the Caribbean: At World\'s End,Pirates of the Caribbean: At World\'s End,285,tt0449088,false,169,300000000,961000000,12344,7.2,en,2007-05-19
Germany: A Summer\'s Fairytale,Deutschland. Ein Sommermärchen,286,tt0853060,false,110,0,0,45,6.7,de,2006-10-03
Bull Durham,Bull Durham,287,tt0094812,false,108,7000000,50888000,447,6.715,en,1988-06-15
High Noon,High Noon,288,tt0044706,false,85,730000,8000000,1123,7.685,en,1952-06-09
Casablanca,Casablanca,289,tt0034583,false,102,878000,10462500,4348,8.167,en,1942-11-26
Barton Fink,Barton Fink,290,tt0101410,false,117,9000000,6153939,1333,7.471,en,1991-08-01
Riding Giants,Riding Giants,291,tt0389326,false,105,2600000,3166000,36,7.6,en,2004-07-09
Dave Chappelle\'s Block Party,Dave Chappelle\'s Block Party,292,tt0425598,false,100,3000000,11718595,88,6.7,en,2005-09-12
A River Runs Through It,A River Runs Through It,293,tt0105265,false,123,12000000,43440294,824,7.052,en,1992-10-09
Desert Hearts,Desert Hearts,294,tt0089015,false,91,350000,2400000,102,7.176,en,1985-10-01
Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,296,tt0181852,false,109,200000000,435000000,5550,6.124,en,2003-07-02
Meet Joe Black,Meet Joe Black,297,tt0119643,false,178,90000000,142940100,3994,7.241,en,1998-11-12
Ocean\'s Thirteen,Ocean\'s Thirteen,298,tt0496806,false,122,85000000,311312624,5372,6.702,en,2007-06-06
Ocean\'s Eleven,Ocean\'s Eleven,299,tt0054135,false,127,0,2800000,253,6.488,en,1960-08-10
The Science of Sleep,La Science des rêves,300,tt0354899,false,105,6000000,9524340,608,7.045,fr,2006-02-11
