title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
"Good Morning, Vietnam","Good Morning, Vietnam",801,tt0093105,false,121,13000000,123922370,2167,7.347,en,1987-12-23
Lolita,Lolita,802,tt0056193,false,154,2000000,9250000,1626,7.378,en,1962-06-21
Night and Fog,Nuit et brouillard,803,tt0048434,false,32,0,0,349,8.262,fr,1955-06-04
Roman Holiday,Roman Holiday,804,tt0046250,false,119,1500000,12000000,1602,7.9,en,1953-08-26
Rosemary\'s Baby,Rosemary\'s Baby,805,tt0063522,false,138,3200000,33395426,3174,7.818,en,1968-06-12
The Omen,The Omen,806,tt0466909,false,110,25000000,119188334,853,5.539,en,2006-06-06
Se7en,Se7en,807,tt0114369,false,127,33000000,327311859,17503,8.353,en,1995-09-22
Shrek,Shrek,808,tt0126029,false,90,60000000,487853320,14208,7.7,en,2001-05-18
Shrek 2,Shrek 2,809,tt0298148,false,93,150000000,928760770,10194,7.192,en,2004-05-19
Shrek the Third,Shrek the Third,810,tt0413267,false,93,160000000,813367380,7545,6.27,en,2007-05-17
Silent Running,Silent Running,811,tt0067756,false,89,1000000,0,442,6.4,en,1972-03-09
Aladdin,Aladdin,812,tt0103639,false,90,28000000,504050219,9825,7.6,en,1992-11-25
Airplane!,Airplane!,813,tt0080339,false,88,3500000,83453539,3628,7.273,en,1980-07-02
An American Werewolf in London,An American Werewolf in London,814,tt0082010,false,97,10000000,31973249,1861,7.382,en,1981-08-21
Animal Farm,Animal Farm,815,tt0204824,false,91,23000000,0,113,5.774,en,1999-10-03
Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery,816,tt0118655,false,94,16500000,67683989,2767,6.529,en,1997-05-02
Austin Powers: The Spy Who Shagged Me,Austin Powers: The Spy Who Shagged Me,817,tt0145660,false,95,33000000,312016858,2764,6.245,en,1999-06-08
Austin Powers in Goldmember,Austin Powers in Goldmember,818,tt0295178,false,93,63000000,296655431,2613,5.983,en,2002-07-26
Sleepers,Sleepers,819,tt0117665,false,147,44000000,165615285,2867,7.602,en,1996-10-18
JFK,JFK,820,tt0102138,false,189,40000000,205405498,1649,7.652,en,1991-12-20
Judgment at Nuremberg,Judgment at Nuremberg,821,tt0055031,false,179,3000000,10000000,578,8.057,en,1961-12-18
The Music Room,জলসাঘর,822,tt0051792,false,100,0,0,112,7.7,bn,1958-10-10
Jin-Roh: The Wolf Brigade,人狼 JIN-ROH,823,tt0193253,false,102,0,0,350,7.45,ja,1999-11-17
Moulin Rouge!,Moulin Rouge!,824,tt0203009,false,128,52500000,179213434,3897,7.607,en,2001-05-24
Playing by Heart,Playing by Heart,825,tt0145734,false,121,20000000,3970078,168,6.7,en,1998-12-30
The Bridge on the River Kwai,The Bridge on the River Kwai,826,tt0050212,false,161,3000000,44908000,1614,7.82,en,1957-10-11
Diabolique,Les Diaboliques,827,tt0046911,false,117,0,0,729,7.881,fr,1955-01-29
The Day the Earth Stood Still,The Day the Earth Stood Still,828,tt0043456,false,92,995000,1850000,841,7.525,en,1951-09-28
Chinatown,Chinatown,829,tt0071315,false,130,6000000,30000000,3037,7.9,en,1974-06-20
Forbidden Planet,Forbidden Planet,830,tt0049223,false,98,1900000,3250000,693,7.3,en,1956-03-23
This Island Earth,This Island Earth,831,tt0047577,false,87,800000,1700000,162,5.941,en,1955-06-01
M,M - Eine Stadt sucht einen Mörder,832,tt0022100,false,109,0,0,1648,8.114,de,1931-05-11
Umberto D.,Umberto D.,833,tt0045274,false,91,0,0,515,7.881,it,1952-01-20
Underworld: Evolution,Underworld: Evolution,834,tt0401855,false,106,50000000,111476513,3450,6.559,en,2006-01-12
F.P.1 Doesn\'t Answer,F.P.1 antwortet nicht,835,tt0022869,false,114,0,0,5,5.4,de,1932-12-22
Barren Lives,Vidas Secas,836,tt0057654,false,100,0,0,67,7.4,pt,1963-08-22
Videodrome,Videodrome,837,tt0086541,false,88,5952000,2120439,1691,7.276,en,1983-02-04
American Graffiti,American Graffiti,838,tt0069704,false,110,777000,140000000,1113,7.049,en,1973-08-01
Duel,Duel,839,tt0067023,false,90,450000,0,1442,7.403,en,1971-11-13
Close Encounters of the Third Kind,Close Encounters of the Third Kind,840,tt0075860,false,137,20000000,306889114,3440,7.369,en,1977-11-18
Dune,Dune,841,tt0087182,false,137,40000000,30925690,2273,6.233,en,1984-12-14
