title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Our Hospitality,Our Hospitality,701,tt0014341,false,73,0,0,189,7.5,en,1923-11-19
A Streetcar Named Desire,A Streetcar Named Desire,702,tt0044081,false,125,1800000,8000000,1084,7.696,en,1951-09-18
Annie Hall,Annie Hall,703,tt0075686,false,93,4000000,38251425,3255,7.8,en,1977-04-19
A Hard Day\'s Night,A Hard Day\'s Night,704,tt0058182,false,88,560000,2360561,520,7.443,en,1964-07-07
All About Eve,All About Eve,705,tt0042192,false,139,1400000,8400000,1230,8.166,en,1950-10-06
Effi Briest,Fontane Effi Briest,706,tt0071458,false,141,0,0,33,6.7,de,1974-06-20
A View to a Kill,A View to a Kill,707,tt0090264,false,131,30000000,152427960,1536,6.155,en,1985-05-24
The Living Daylights,The Living Daylights,708,tt0093428,false,130,40000000,191185897,1380,6.465,en,1987-06-29
Licence to Kill,Licence to Kill,709,tt0097742,false,133,32000000,156167015,1526,6.322,en,1989-06-13
GoldenEye,GoldenEye,710,tt0113189,false,130,58000000,352194034,3191,6.877,en,1995-11-16
Finding Forrester,Finding Forrester,711,tt0181536,false,136,43000000,80049764,895,7.106,en,2000-12-21
Four Weddings and a Funeral,Four Weddings and a Funeral,712,tt0109831,false,117,4400000,245700832,2186,6.753,en,1994-03-09
The Piano,The Piano,713,tt0107822,false,121,7000000,40185556,1165,7.406,en,1993-05-19
Tomorrow Never Dies,Tomorrow Never Dies,714,tt0120347,false,119,110000000,333011068,2518,6.32,en,1997-12-11
Together,Tillsammans,742,tt0203166,false,106,0,0,190,6.9,sv,2000-08-25
Train Birds,Zugvögel – einmal nach Inari,743,tt0129659,false,87,0,0,14,5.9,de,1998-01-01
Top Gun,Top Gun,744,tt0092099,false,110,15000000,356830601,6271,7.006,en,1986-05-16
The Sixth Sense,The Sixth Sense,745,tt0167404,false,107,40000000,672806292,9779,7.94,en,1999-08-06
The Last Emperor,The Last Emperor,746,tt0093389,false,163,23000000,43984230,1299,7.6,en,1987-05-27
Shaun of the Dead,Shaun of the Dead,747,tt0365748,false,99,6100000,30097092,7058,7.532,en,2004-04-09
Murder She Said,Murder She Said,750,tt0055205,false,87,0,0,149,7.3,en,1961-09-26
Murder at the Gallop,Murder at the Gallop,751,tt0057334,false,81,0,0,110,6.864,en,1963-06-24
V for Vendetta,V for Vendetta,752,tt0434409,false,132,54000000,132511035,12476,7.898,en,2006-02-23
Faces,Faces,753,tt0062952,false,130,275000,0,154,7.273,en,1968-11-24
Face/Off,Face/Off,754,tt0119094,false,138,80000000,245676146,4343,7.009,en,1997-06-27
From Dusk Till Dawn,From Dusk Till Dawn,755,tt0116367,false,108,19000000,25836616,4926,7.002,en,1996-01-19
Fantasia,Fantasia,756,tt0032455,false,124,2280000,76411819,2539,7.4,en,1940-04-11
Murder Most Foul,Murder Most Foul,757,tt0058383,false,90,0,0,111,6.973,en,1964-03-01
Murder Ahoy,Murder Ahoy,758,tt0058382,false,93,0,0,98,7,en,1964-09-22
Gentlemen Prefer Blondes,Gentlemen Prefer Blondes,759,tt0045810,false,91,2300000,5300000,713,7.37,en,1953-07-14
The Mad Adventures of Rabbi Jacob,Les Aventures de Rabbi Jacob,760,tt0069747,false,100,0,0,794,7.375,fr,1973-10-17
The Wing or the Thigh?,L\'Aile ou la Cuisse,761,tt0074103,false,104,0,0,689,7.237,fr,1976-10-27
Monty Python and the Holy Grail,Monty Python and the Holy Grail,762,tt0071853,false,91,400000,1940906,4778,7.808,en,1975-05-25
Braindead,Braindead,763,tt0103873,false,103,3000000,242623,1279,7.402,en,1992-08-13
The Evil Dead,The Evil Dead,764,tt0083907,false,85,350000,29400000,3038,7.31,en,1981-09-10
Evil Dead II,Evil Dead II,765,tt0092991,false,84,3500000,10900000,2390,7.551,en,1987-03-13
